"Row.names","Top","p.value","FDR","summary.logFC","logFC.Spermatocytes","ID","Symbol"
"ENSMUSG00000037017",69,0,0,-1.1648824995675,-1.1648824995675,"ENSMUSG00000037017","Zscan21"
"ENSMUSG00000027985",38,0,0,-1.17968908033536,-1.17968908033536,"ENSMUSG00000027985","Lef1"
"ENSMUSG00000038932",65,0,0,-1.20279655183338,-1.20279655183338,"ENSMUSG00000038932","Tcfl5"
"ENSMUSG00000029014",86,0,0,-1.2055749554813,-1.2055749554813,"ENSMUSG00000029014","Dnajc2"
"ENSMUSG00000037174",82,0,0,-1.21997770173432,-1.21997770173432,"ENSMUSG00000037174","Elf2"
"ENSMUSG00000058388",55,0,0,-1.24306689072642,-1.24306689072642,"ENSMUSG00000058388","Phtf1"
"ENSMUSG00000025470",35,0,0,-1.2484120530536,-1.2484120530536,"ENSMUSG00000025470","Zfp511"
"ENSMUSG00000037279",37,0,0,-1.27064081454159,-1.27064081454159,"ENSMUSG00000037279","Ovol2"
"ENSMUSG00000024206",4,0,0,-1.30813732258985,-1.30813732258985,"ENSMUSG00000024206","Rfx2"
"ENSMUSG00000021379",74,0,0,-1.33589255908053,-1.33589255908053,"ENSMUSG00000021379","Id4"
"ENSMUSG00000057173",16,0,0,-1.41553260404282,-1.41553260404282,"ENSMUSG00000057173","Rfx8"
"ENSMUSG00000037395",3,0,0,-1.43470773417206,-1.43470773417206,"ENSMUSG00000037395","Rcor3"
"ENSMUSG00000025423",70,0,0,-1.51899411409394,-1.51899411409394,"ENSMUSG00000025423","Pias2"
"ENSMUSG00000056216",52,0,0,-1.59575974404231,-1.59575974404231,"ENSMUSG00000056216","Cebpg"
"ENSMUSG00000070345",10,0,0,-1.61290109325023,-1.61290109325023,"ENSMUSG00000070345","Hsf5"
"ENSMUSG00000035478",57,0,0,-1.65587580470843,-1.65587580470843,"ENSMUSG00000035478","Mbd3"
"ENSMUSG00000007415",44,0,0,-1.80747154744078,-1.80747154744078,"ENSMUSG00000007415","Gatad1"
"ENSMUSG00000032497",32,0,0,-1.90051652600647,-1.90051652600647,"ENSMUSG00000032497","Lrrfip2"
"ENSMUSG00000024695",45,0,0,-1.9183475467344,-1.9183475467344,"ENSMUSG00000024695","Zfp91"
"ENSMUSG00000011349",15,0,0,-1.91848490254699,-1.91848490254699,"ENSMUSG00000011349","Dmrtc2"
"ENSMUSG00000025408",12,0,0,-1.94799625078493,-1.94799625078493,"ENSMUSG00000025408","Ddit3"
"ENSMUSG00000006310",29,0,0,-1.96553708187586,-1.96553708187586,"ENSMUSG00000006310","Zbtb32"
"ENSMUSG00000026279",20,0,0,-1.97351947582041,-1.97351947582041,"ENSMUSG00000026279","Thap4"
"ENSMUSG00000035420",1,0,0,-2.01133598135153,-2.01133598135153,"ENSMUSG00000035420","Fam170a"
"ENSMUSG00000000942",2,0,0,-2.0546839454772,-2.0546839454772,"ENSMUSG00000000942","Hoxa4"
"ENSMUSG00000030189",22,0,0,-2.27982743758236,-2.27982743758236,"ENSMUSG00000030189","Ybx3"
"ENSMUSG00000030059",21,0,0,-2.31741184854366,-2.31741184854366,"ENSMUSG00000030059","Tmf1"
"ENSMUSG00000063889",8,0,0,-2.36393028312974,-2.36393028312974,"ENSMUSG00000063889","Crem"
"ENSMUSG00000028639",24,0,0,-2.50774537808755,-2.50774537808755,"ENSMUSG00000028639","Ybx1"
"ENSMUSG00000040629",30,0,0,-2.65096536058094,-2.65096536058094,"ENSMUSG00000040629","Mael"
"ENSMUSG00000031860",7,0,0,-2.75366405698101,-2.75366405698101,"ENSMUSG00000031860","Pbx4"
"ENSMUSG00000030544",5,0,0,-2.83808343285577,-2.83808343285577,"ENSMUSG00000030544","Mesp1"
"ENSMUSG00000026743",23,0,0,-2.96547427222921,-2.96547427222921,"ENSMUSG00000026743","Mllt10"
"ENSMUSG00000028610",9,0,0,-3.47238867368216,-3.47238867368216,"ENSMUSG00000028610","Dmrtb1"
"ENSMUSG00000067367",13,0,0,-3.61355579390811,-3.61355579390811,"ENSMUSG00000067367","Lyar"
"ENSMUSG00000018554",6,0,0,-4.90706168030977,-4.90706168030977,"ENSMUSG00000018554","Ybx2"
